year,month,day,hour,minute,sec,milsec,kp,na
2004,1,18,15,0,0,0,2-,4
2004,1,18,18,0,0,0,4+,12
2004,1,18,21,0,0,0,4+,12
2004,1,19,0,0,0,0,3,8
2004,1,19,3,0,0,0,3-,7
2004,1,19,6,0,0,0,2+,6
2004,1,19,9,0,0,0,3-,7
2004,1,19,12,0,0,0,4-,10
2004,1,19,15,0,0,0,4+,12
2004,1,19,18,0,0,0,3+,9
2004,1,19,21,0,0,0,4-,10
2004,1,20,0,0,0,0,3+,9
2004,1,20,3,0,0,0,4-,10
2004,1,20,6,0,0,0,3,8
2004,1,20,9,0,0,0,3-,7
2004,1,20,12,0,0,0,4-,10
2004,1,20,15,0,0,0,4+,12
2004,1,20,18,0,0,0,3-,7
2004,1,20,21,0,0,0,3,8
2004,1,21,0,0,0,0,2+,6
2004,1,21,3,0,0,0,3,8
2004,1,21,6,0,0,0,4-,10
2004,1,21,9,0,0,0,3-,7
2004,1,21,12,0,0,0,3+,9
2004,1,21,15,0,0,0,2+,6
2004,1,21,18,0,0,0,3+,9
2004,1,21,21,0,0,0,3-,7
2004,1,22,0,0,0,0,5,14
2004,1,22,3,0,0,0,5,14
2004,1,22,6,0,0,0,5,14
2004,1,22,9,0,0,0,7,20
2004,1,22,12,0,0,0,7-,19
2004,1,22,15,0,0,0,4,11
2004,1,22,18,0,0,0,5+,15
2004,1,22,21,0,0,0,5-,13
2004,1,23,0,0,0,0,4+,12
2004,1,23,3,0,0,0,4+,12
2004,1,23,6,0,0,0,4,11
2004,1,23,9,0,0,0,5-,13
2004,1,23,12,0,0,0,4+,12
2004,1,23,15,0,0,0,6,17
2004,1,23,18,0,0,0,6-,16
2004,1,23,21,0,0,0,4+,12
2004,1,24,0,0,0,0,5,14
2004,1,24,3,0,0,0,3,8
2004,1,24,6,0,0,0,2+,6
2004,1,24,9,0,0,0,3+,9
2004,1,24,12,0,0,0,2+,6
2004,1,24,15,0,0,0,3-,7
2004,1,24,18,0,0,0,3,8
2004,1,24,21,0,0,0,3+,9
2004,1,25,0,0,0,0,5+,15
2004,1,25,3,0,0,0,6-,16
2004,1,25,6,0,0,0,4+,12
2004,1,25,9,0,0,0,4+,12
2004,1,25,12,0,0,0,4+,12
2004,1,25,15,0,0,0,4+,12
2004,1,25,18,0,0,0,4-,10
2004,1,25,21,0,0,0,4,11
2004,1,26,0,0,0,0,4,11
2004,1,26,3,0,0,0,2+,6
2004,1,26,6,0,0,0,3-,7
2004,1,26,9,0,0,0,3+,9
2004,1,26,12,0,0,0,3,8
2004,1,26,15,0,0,0,3-,7
2004,1,26,18,0,0,0,4,11
2004,1,26,21,0,0,0,4-,10
2004,1,27,0,0,0,0,4,11
2004,1,27,3,0,0,0,3+,9
2004,1,27,6,0,0,0,3,8
2004,1,27,9,0,0,0,2+,6
2004,1,27,12,0,0,0,3+,9
2004,1,27,15,0,0,0,3+,9
2004,1,27,18,0,0,0,3-,7
2004,1,27,21,0,0,0,3+,9
2004,1,28,0,0,0,0,6-,16
2004,1,28,3,0,0,0,4-,10
2004,1,28,6,0,0,0,3,8
2004,1,28,9,0,0,0,3-,7
2004,1,28,12,0,0,0,3,8
2004,1,28,15,0,0,0,3,8
2004,1,28,18,0,0,0,4-,10
2004,1,28,21,0,0,0,3,8
2004,1,29,0,0,0,0,2-,4
2004,1,29,3,0,0,0,2+,6
2004,1,29,6,0,0,0,2,5
2004,1,29,9,0,0,0,3,8
2004,1,29,12,0,0,0,3-,7
2004,1,29,15,0,0,0,1,2
2004,1,29,18,0,0,0,1+,3
2004,1,29,21,0,0,0,3-,7
2004,1,30,0,0,0,0,2+,6
2004,1,30,3,0,0,0,3,8
2004,1,30,6,0,0,0,3,8
2004,1,30,9,0,0,0,5-,13
2004,1,30,12,0,0,0,4-,10
2004,1,30,15,0,0,0,3,8
2004,1,30,18,0,0,0,3+,9
2004,1,30,21,0,0,0,4-,10
2004,1,31,0,0,0,0,2-,4
2004,1,31,3,0,0,0,2-,4
2004,1,31,6,0,0,0,2+,6
2004,1,31,9,0,0,0,4+,12
2004,1,31,12,0,0,0,3-,7
2004,1,31,15,0,0,0,2-,4
2004,1,31,18,0,0,0,2-,4
2004,1,31,21,0,0,0,2-,4
2004,2,1,0,0,0,0,2+,6
2004,2,1,3,0,0,0,3+,9
2004,2,1,6,0,0,0,2+,6
2004,2,1,9,0,0,0,1+,3
2004,2,1,12,0,0,0,2+,6
2004,2,1,15,0,0,0,2-,4
2004,2,1,18,0,0,0,2+,6
2004,2,1,21,0,0,0,3,8
2004,2,2,0,0,0,0,2-,4
2004,2,2,3,0,0,0,2-,4
2004,2,2,6,0,0,0,4+,12
2004,2,2,9,0,0,0,4-,10
2004,2,2,12,0,0,0,3+,9
2004,2,2,15,0,0,0,4,11
2004,2,2,18,0,0,0,2+,6
2004,2,2,21,0,0,0,4-,10
2004,2,3,0,0,0,0,4+,12
2004,2,3,3,0,0,0,4-,10
2004,2,3,6,0,0,0,4,11
2004,2,3,9,0,0,0,3,8
2004,2,3,12,0,0,0,3+,9
2004,2,3,15,0,0,0,4-,10
2004,2,3,18,0,0,0,3,8
2004,2,3,21,0,0,0,3-,7
2004,2,4,0,0,0,0,4,11
2004,2,4,3,0,0,0,2,5
2004,2,4,6,0,0,0,3+,9
2004,2,4,9,0,0,0,3,8
