year,month,day,hour,minute,second,microsecond,latitude,longitude,magnitude,depth
2004,1,13,20,4,24,70000,-8.571,105.866,4.9,25.9
2004,1,13,20,8,26,190000,-27.753,74.063,5.3,10.0
2004,1,13,20,9,50,950000,12.315,144.127,4.9,37.7
2004,1,13,21,2,46,430000,-27.814,74.057,5.3,10.0
2004,1,13,21,28,57,760000,16.108,-96.937,5.5,28.0
2004,1,14,11,26,18,550000,-36.629,53.413,5.1,10.0
2004,1,14,16,58,48,190000,27.695,52.397,5.2,12.4
2004,1,14,18,38,54,180000,-19.841,-125.24,5.0,10.0
2004,1,15,5,19,28,220000,-43.27,39.717,4.8,10.0
2004,1,15,7,26,53,10000,-3.528,151.064,6.2,10.0
2004,1,16,9,6,20,860000,42.534,75.348,4.9,27.5
2004,1,16,15,42,25,60000,-0.398,132.091,5.6,36.2
2004,1,16,17,23,48,120000,41.755,143.697,4.9,31.1
2004,1,16,18,7,55,660000,7.641,-37.704,6.2,10.0
2004,1,18,14,7,4,40000,-47.038,-11.282,5.6,10.0
2004,1,19,5,47,24,0,-31.734,-71.723,5.4,31.1
2004,1,19,7,22,52,910000,84.475,105.215,5.6,10.0
2004,1,19,14,32,19,630000,-1.081,126.986,5.1,33.3
2004,1,19,23,50,59,540000,51.961,100.067,4.8,34.1
2004,1,20,6,56,30,120000,-62.445,-161.45,5.5,10.0
2004,1,20,20,0,54,930000,-22.554,169.928,5.1,10.0
2004,1,21,4,58,2,370000,-15.3,-173.459,4.8,10.0
2004,1,22,4,15,42,570000,-17.256,-176.903,5.5,29.8
2004,1,22,15,6,43,570000,-22.167,169.551,4.9,10.0
2004,1,23,6,49,56,300000,-58.38,-139.718,5.5,10.0
2004,1,24,13,1,45,700000,52.122,-30.179,5.9,10.0
2004,1,24,16,40,31,940000,50.199,87.304,5.0,10.0
2004,1,24,20,51,7,520000,1.983,94.492,4.8,36.9
2004,1,24,21,46,1,200000,-22.518,170.007,5.3,10.0
2004,1,24,23,19,54,100000,-22.506,169.962,5.2,10.0
